idescuela,idplantel,ccts,escuela,idcodigo,cv_cct,
6228,07INM_18935,07DCC0839O,NARCISO MENDOZA,144110,07DCC0839O,
6229,07INM_18936,07KPB0549M/07KCC0170O,PRIMARIA CONAFE INDIGENA,144110,07KPB0301V,
6230,07INM_18937,07DPB0458L,DR. MANUEL VELASCO SUAREZ,144110,07DPB0458L,
6231,07INM_19009,07DPB2852A,DOROTEO ARANGO,144110,07DPB2852A,
6232,07INM_18890,07DCC1402L,FERNANDO MONTES DE OCA,1904,07DCC1402L,
6233,07INM_19085,07EPB0862T,PRIMARIA COMUNITARIA DIEGO RIVERA,1904,,
6234,07INM_19018,07KCC1509N,PREESCOLAR CONAFE INDIGENA,144110,07KCC0707G,
6235,07INM_19019,07DPR4642K,PLUTARCO ELIAS CALLES,144110,07DPR4642K,
6236,07INM_18957,07KCC1230T,PREESCOLAR CONAFE INDIGENA,144110,07KCC1230T,
6237,07INM_18991,07DPB3298I,CARLOS MONSIVAIS ACEVES,144110,07DPB3298I,
6238,07INM_18940,07ETV1424A,TELESECUNDARIA 1401 NIÑOS HEROES,1880,07ETV1424A,
6239,07INM_18960,07KCC1594A,PREESCOLAR CONAFE INDIGENA,144110,07KCC1594A,
6240,07INM_18938,07DCC1000R,SOR JUANA INES DE LA CRUZ,1895,07DCC1000R,
6241,07INM_18939,07DPB0551R,GENERAL LAZARO CARDENAS DEL RIO,1895,07DPB0551R,
6242,07INM_18994,07DCC0842B,VICENTE SUAREZ,144110,07DCC0842B,
6243,07INM_18995,07DPB1501Q,VICENTE GUERRERO,144110,07DPB1501Q,
6244,07INM_18867,07DCC1829O,MELCHOR OCAMPO,144110,07DCC1829O,
6245,07INM_18868,07ETV1335H,TELESECUNDARIA 1308 BENITO JUAREZ,144110,07ETV1335H,
6246,07INM_18869,07DPB1265D,JAVIER MINA,144110,07DPB1265D,
6247,07INM_19064,07KPB1476R/07KCC1901R,PRIMARIA CONAFE INDIGENA,144110,07KPB1476R,
6248,07INM_18870,07DPB1349L,GENERAL FRANCISCO VILLA,1893,07DPB1349L,
6249,07INM_18871,07KCC0031N,PREESCOLAR CONAFE INDIGENA,1893,07KCC0031N,
6250,07INM_19057,07DCC2006S,GUADALUPE VICTORIA,144110,07DCC2006S,
6251,07INM_19058,07DPB3144F,JAIME NUNO,144110,07DPB3144F,
6252,07INM_18877,07DPB0273F,PLAN DE AYALA,144110,07DPB0273F,
6253,07INM_19077,07KCC0160H/07KPB0959P,PREESCOLAR CONAFE INDIGENA,144110,07KCC0160H,
6254,07INM_19055,07KCC1602T,PREESCOLAR CONAFE INDIGENA,144110,07KCC1602T,
6255,07INM_19056,07DPB3145E,LUIS DONALDO COLOSIO MURRIETA,144110,07DPB3145E,
6256,07INM_19003,07ECC0575V,"JARDIN DE NIÑOS COMUNITARIO JAIME SABINES
GUTIERREZ",144110,,
6257,07INM_19029,07DPB2867C,EMILIANO ZAPATA SALAZAR,144110,07DPB2867C,
6258,07INM_18878,07DCC0471A,MELCHOR OCAMPO,1883,07DCC0471A,
6259,07INM_18879,07DES0059I,ESCUELA SECUNDARIA GENERAL NUM. 53,1883,07DES0059I,
6260,07INM_18880,07DPB0274E,24 DE FEBRERO,1883,07DPB0274E,
6261,07INM_18977,07KCC1576L,PREESCOLAR CONAFE INDIGENA,144110,07KCC1576L,
6262,07INM_19007,07DCC1978W,JAIME SABINES GUTIERREZ,144110,07DCC1978W,
6263,07INM_18818,07KCC1461K,PREESCOLAR CONAFE INDIGENA,144110,,
6264,07INM_19071,07DPB3160X,NARCISO GARCIA MENDOZA,144110,07DPB3160X,
6265,07INM_18992,07ECC0681E,JARDIN DE NIÑOS COMUNITARIO,144110,07ECC0681E,
6266,07INM_19011,07DPB2757X,RAMON CORONA,144110,07DPB2757X,
6267,07INM_19012,07ECC0498G,"JARDIN     DE     NIÑOS     COMUNITARIO     PEDRO
MORENO",144110,,
6268,07INM_19076,07KCC0575F/07KSC0099V/07KPB0623D,PREESCOLAR CONAFE INDIGENA,144110,07KCC0575F,
6269,07INM_18887,07DPB0276C,JUAN ALDAMA,144110,07DPB0276C,
6270,07INM_18888,07DCC0003H,BELISARIO DOMINGUEZ PALENCIA,144110,07DCC0003H,
6271,07INM_19013,07KCC0579B/07KPB0626A,PREESCOLAR CONAFE INDIGENA,144110,07KCC0300R,
6272,07INM_19014,07DCC1276E,FRANCISCO INDALECIO MADERO,144110,07DCC1276E,
6273,07INM_19015,07DPB2873N,BENITO JUAREZ GARCIA,144110,07DPB2873N,
6274,07INM_19016,07KPB1183D,PRIMARIA CONAFE INDIGENA,144110,07KPB0552Z,
6275,07INM_19030,07ECC0733U,"JARDIN    DE    NIÑOS    COMUNITARIO    GALILEO
GALILEY",144110,,
6276,07INM_19031,07DPB2723G,MANUEL GUTIERREZ NAJERA,144110,07DPB2723G,
6277,07INM_19017,07EPB0837U,PRIMARIA COMUNITARIA,144110,07EPB0837U,
6278,07INM_19027,07KCC0420D/07KPB0859Q/07KSC0076K,PREESCOLAR CONAFE INDIGENA,144110,07KCC0420D,
6279,07INM_18816,07DCC2086U,ROSARIO CASTELLANOS,1884,,
6280,07INM_18817,07DPB1072P,15 DE SEPTIEMBRE,1884,,
6281,07INM_18820,07EPB0868N,"PRIMARIA      COMUNITARIA      ADOLFO      LOPEZ
MATEOS",1884,,
6282,07INM_18827,07DCC0225R,KUKULKAN,1884,07DCC0225R,
6283,07INM_18828,07ODI0085G,"CENTRO  DE  ASISTENCIA  INFANTIL  LA  CUNA  DE
MIS SUEæOS",1884,,
6284,07INM_18829,07DJN1388Y,18 DE MARZO,1884,07DJN1388Y,
6285,07INM_18883,07ETV1323C,TELESECUNDARIA 1300 15 DE SEPTIEMBRE,144110,07ETV1323C,
6286,07INM_19046,07DCC1271J,BENITO JUAREZ GARCIA,144110,07DCC1271J,
6287,07INM_18892,07ETV0993L,TELESECUNDARIA 981 IGNACIO ALLENDE,144110,07ETV0993L,
6288,07INM_18893,07DCC1404J,RUBEN DARIO,144110,07DCC1404J,
6289,07INM_18894,07KPB1748S,PRIMARIA CONAFE INDIGENA,144110,07KPB1748S,
6290,07INM_18895,07DPB0455O,NICOLAS BRAVO,144110,07DPB0455O,
6291,07INM_19042,07DPR4811P,ALVARO OBREGON (1880-1928),144110,07DPR4811P,
6292,07INM_19043,07KCC1595Z,PREESCOLAR CONAFE INDIGENA,144110,07KCC1595Z,
6293,07INM_18950,07DCC1248I,GABRIELA MISTRAL,144110,07DCC1248I,
